phase,epoch,train_loss,train_acc,val_loss,val_acc
Head,1,2.219823506745425,27.743035815804433,2.0889386442991404,35.830212234706615
Head,2,1.874332437732003,40.42069357589539,1.8877535324830275,38.20224719101123
Head,3,1.7061084443872625,45.62251279135873,1.8136981313045208,40.074906367041194
Head,4,1.5945549802346664,49.971574758385444,1.7257327162302458,43.570536828963796
Head,5,1.4969135403633118,53.01307561114269,1.6416211219934316,46.06741573033708
Head,6,1.432469560883262,54.491188175099495,1.616765939272367,46.192259675405744
Head,7,1.3840305913578381,56.05457646389994,1.5429747081719911,48.4394506866417
Head,8,1.3337761629711498,58.300170551449696,1.5090222679651701,50.811485642946316
Head,9,1.3013118662617422,59.721432632177375,1.4896094844891474,51.9350811485643
Head,10,1.2444365658543326,61.25639567936327,1.4732249356233156,52.18476903870163
Head,11,1.213676948438991,61.967026719727116,1.411205102617924,52.68414481897628
Head,12,1.1869527475400405,62.81978396816373,1.42575469154578,51.56054931335831
Head,13,1.1528368711471557,63.558840250142126,1.4096395556743329,51.68539325842697
Head,14,1.1362138065424832,63.757816941444,1.3805454969406128,52.55930087390761
Head,15,1.1054224469444969,65.43490619670267,1.3639249045115251,53.558052434456926
Fine-Tuning,16,0.9971845231272958,68.05002842524162,1.227416754915164,58.92634207240949
Fine-Tuning,17,0.8557438297705217,72.45594087549743,1.120431403701122,61.92259675405742
Fine-Tuning,18,0.7648793188008395,75.61114269471291,1.0358529578034694,64.66916354556804
Fine-Tuning,19,0.6741485609249636,78.59579306424105,0.9835614590690687,65.91760299625467
Fine-Tuning,20,0.5996893917972391,81.49516770892554,0.8728096240128462,69.28838951310861
Fine-Tuning,21,0.509666509790854,84.42296759522456,0.8118631084664509,71.4107365792759
Fine-Tuning,22,0.45912079079584645,85.36100056850483,0.7415837449236558,73.90761548064918
