phase,epoch,train_loss,train_acc,val_loss,val_acc
Head,1,2.219823506745425,27.743035815804433,2.0889386442991404,35.830212234706615
Head,2,1.874332437732003,40.42069357589539,1.8877535324830275,38.20224719101123
Head,3,1.7061084443872625,45.62251279135873,1.8136981313045208,40.074906367041194
Head,4,1.5945549802346664,49.971574758385444,1.7257327162302458,43.570536828963796
Head,5,1.4969135403633118,53.01307561114269,1.6416211219934316,46.06741573033708
Head,6,1.432469560883262,54.491188175099495,1.616765939272367,46.192259675405744
Head,7,1.3840305913578381,56.05457646389994,1.5429747081719911,48.4394506866417
Head,8,1.3337761629711498,58.300170551449696,1.5090222679651701,50.811485642946316
Head,9,1.3013118662617422,59.721432632177375,1.4896094844891474,51.9350811485643
Head,10,1.2444365658543326,61.25639567936327,1.4732249356233156,52.18476903870163
Head,11,1.213676948438991,61.967026719727116,1.411205102617924,52.68414481897628
Head,12,1.1869527475400405,62.81978396816373,1.42575469154578,51.56054931335831
Head,13,1.1528368711471557,63.558840250142126,1.4096395556743329,51.68539325842697
Head,14,1.1362138065424832,63.757816941444,1.3805454969406128,52.55930087390761
Head,15,1.1054224469444969,65.43490619670267,1.3639249045115251,53.558052434456926
Fine-Tuning,16,0.9971845231272958,68.05002842524162,1.227416754915164,58.92634207240949
Fine-Tuning,17,0.8557438297705217,72.45594087549743,1.120431403701122,61.92259675405742
Fine-Tuning,18,0.7648793188008395,75.61114269471291,1.0358529578034694,64.66916354556804
Fine-Tuning,19,0.6741485609249636,78.59579306424105,0.9835614590690687,65.91760299625467
Fine-Tuning,20,0.5996893917972391,81.49516770892554,0.8728096240128462,69.28838951310861
Fine-Tuning,21,0.509666509790854,84.42296759522456,0.8118631084664509,71.4107365792759
Fine-Tuning,22,0.45912079079584645,85.36100056850483,0.7415837449236558,73.90761548064918
Fine-Tuning,23,0.3934370397166772,87.833996588971,0.6904104900761292,75.53058676654182
Fine-Tuning,24,0.35892845351587643,89.56793632745878,0.6193228743683833,78.15230961298377
Fine-Tuning,25,0.3154960323463787,90.36384309266629,0.5795082152606204,79.52559300873908
Fine-Tuning,26,0.26946175579320303,92.32518476407049,0.5125503585888789,82.02247191011236
Fine-Tuning,27,0.24221139746633444,93.121091529278,0.48504255858894724,82.02247191011236
Fine-Tuning,28,0.22309700101614,93.37691870380898,0.46988042139519864,83.14606741573034
Fine-Tuning,29,0.1946466158736836,94.45707788516202,0.4417812652670993,84.89388264669164
Fine-Tuning,30,0.18468560021031988,94.59920409323479,0.4185537345205935,85.89263420724095
Fine-Tuning,31,0.16333123137327757,95.05400795906766,0.3914919573670396,86.64169787765293
Fine-Tuning,32,0.15519931035285647,95.53723706651508,0.38335009925783825,86.89138576779027
Fine-Tuning,33,0.14176365262405438,95.65093803297327,0.3990131426656332,85.89263420724095
Fine-Tuning,34,0.1279564293609424,95.96361569073338,0.35706892563925624,88.38951310861424
Fine-Tuning,35,0.11872875842858445,96.47527003979533,0.354548178998252,89.13857677902621
Fine-Tuning,36,0.10966386026279493,96.58897100625356,0.34152385666339585,88.5143570536829
Fine-Tuning,37,0.1086569803851572,96.53212052302445,0.3387660608456757,89.63795255930087
Fine-Tuning,38,0.10178335772149942,96.90164866401363,0.32860312413406345,90.2621722846442
Fine-Tuning,39,0.09465231399305842,97.24275156338828,0.32347113132261884,90.01248439450687
Fine-Tuning,40,0.08917806226421486,97.41330301307562,0.316969017242977,89.51310861423221
Fine-Tuning,41,0.08954912769523533,96.90164866401363,0.3213652955824867,90.01248439450687
Fine-Tuning,42,0.08196290486746213,97.38487777146105,0.3175297218706244,89.8876404494382
Fine-Tuning,43,0.07966901107945225,97.27117680500285,0.31405807446124245,90.2621722846442
Fine-Tuning,44,0.07462207514115356,97.47015349630472,0.3138479299220937,89.26342072409487
Fine-Tuning,45,0.06763432122428309,97.92495736213758,0.3081537552151041,89.26342072409487
Fine-Tuning,46,0.06627473666925322,97.7259806708357,0.3049638890616524,89.38826466916355
Fine-Tuning,47,0.05925737268884074,98.4650369528141,0.30985878679516293,89.76279650436953
Fine-Tuning,48,0.06594082082367757,98.0386583285958,0.3130002666014032,89.63795255930087
Fine-Tuning,49,0.06460372113876722,97.86810687890846,0.30227876167583206,89.63795255930087
Fine-Tuning,50,0.0628591409418732,97.86810687890846,0.3039028594301691,90.13732833957553
