epoch,train_loss,train_acc,val_loss,val_acc
1,2.5924452673305165,12.023877202956225,2.4751486778259277,19.600499375780274
2,2.46504402810877,18.533257532689028,2.3008574843406677,26.092384519350816
3,2.36354736848311,24.019329164297897,2.22584834924111,27.340823970037455
4,2.303346096385609,25.838544627629332,2.1991578799027662,29.712858926342072
5,2.2728210568428038,27.00397953382604,2.160965708585886,31.335830212234704
6,2.2543780532750217,27.686185332575324,2.1505069686816287,31.585518102372035
7,2.2278237657113507,28.737919272313817,2.1534721026053796,32.70911360799001
8,2.206243634223938,29.590676520750424,2.1356263091930976,30.96129837702871
9,2.204729881069877,28.9937464468448,2.112817113216107,35.70536828963795
10,2.1951228618621825,29.874928936895962,2.112500791366284,33.083645443196005
11,2.1803543242541226,30.07390562819784,2.0816260553323307,36.95380774032459
12,2.1667063528841193,30.926662876634452,2.0739658658321085,36.70411985018727
13,2.168209684978832,29.98862990335418,2.0535193933890414,36.95380774032459
14,2.1507292996753344,31.125639567936325,2.0747595750368557,35.2059925093633
15,2.14958332343535,32.20579874928937,2.060025834120237,38.07740324594257
16,2.1449523622339424,32.0636725412166,2.047488432664138,37.07865168539326
17,2.132350954142484,32.490051165434906,2.031431427368751,40.19975031210986
18,2.132349051128734,32.26264923251848,2.0528506430295796,39.45068664169788
19,2.1076721288941123,33.62706083001705,2.0230744022589464,40.19975031210986
20,2.110813518003984,33.31438317225696,2.0377326768178206,39.45068664169788
21,2.100116157531738,33.5986355884025,2.025069521023677,40.574282147315856
22,2.0980622139844027,34.25241614553723,2.021908063154954,40.44943820224719
23,2.084918690811504,34.90619670267197,2.006573961331294,41.57303370786517
24,2.0732971386476,35.75895395110859,1.9876009776042058,42.94631710362047
25,2.0713136824694547,35.73052870949403,1.9857046879254854,40.94881398252185
26,2.080714996294542,35.162023877202955,1.9837660147593572,42.57178526841448
27,2.0724164908582514,35.07674815235929,2.002742875080842,42.072409488139826
28,2.0550055904821916,35.8726549175668,1.9801087379455566,42.57178526841448
29,2.0662779656323518,36.81068789084707,1.9812435186826265,42.44694132334582
30,2.050995374809612,36.2990335417851,1.9694811839323778,44.19475655430712
31,2.0449538057500667,36.92438885730528,1.976906875005135,42.44694132334582
32,2.0530373280698604,36.128482092097784,1.9767155234630291,40.94881398252185
33,2.021771161122756,37.69187038089824,1.974750117613719,41.69787765293383
34,2.034390461444855,37.066515065378056,1.9439552953610053,42.82147315855181
35,2.0284345876086842,38.17509948834565,1.9379333670322711,43.69538077403246
36,2.0127885287458245,37.69187038089824,1.9400988129469066,43.82022471910113
37,1.996074583313682,38.45935190449119,1.9213001773907588,45.31835205992509
38,1.9742453759366816,40.22171688459352,1.9139153498869677,46.31710362047441
39,1.9771228931166909,39.681637293917,1.908514726620454,44.9438202247191
40,1.9561504526571794,40.13644115974986,1.9016247116602385,46.6916354556804
41,1.967184387553822,40.64809550881183,1.898938658145758,45.94257178526841
42,1.9697164492173629,39.82376350198977,1.893917047060453,45.81772784019975
43,1.9512494249777361,40.363843092666286,1.8928087147382588,45.94257178526841
44,1.9601637623526833,39.65321205230244,1.885483083816675,46.566791510611736
45,1.9432129339738327,40.87549744172826,1.8869909598277166,45.69288389513109
46,1.9523170254447244,40.61967026719727,1.8857579208337343,45.44319600499376
47,1.9405554912307046,40.81864695849915,1.8885823648709517,45.19350811485643
48,1.9639329986138778,40.8470722001137,1.8891427104289715,45.94257178526841
49,1.9482703458179127,40.591245025582715,1.8859138121971717,45.69288389513109
50,1.9499883705919439,41.15974985787379,1.883204045204016,45.31835205992509
