frame,objeto detectado,confianza,id,x_center_norm,y_center_norm
368,Green Light,0.82,210,0.513919,0.487167
369,Green Light,0.84,210,0.516038,0.47753
370,Green Light,0.88,210,0.517165,0.469426
370,Green Light,0.88,224,0.352701,0.466612
371,Green Light,0.93,210,0.520815,0.4497
372,Green Light,0.95,210,0.526431,0.42518
373,Green Light,0.32,,0.732187,0.420748
373,Speed Limit 110,0.22,,0.912431,0.506975
373,Green Light,0.21,,0.532789,0.431353
374,Green Light,0.85,209,0.223021,0.384475
374,Green Light,0.97,210,0.535118,0.379307
375,Green Light,0.42,,0.709917,0.41844
375,Speed Limit 110,0.32,,0.895253,0.509449
376,Green Light,0.36,,0.722607,0.410786
376,Speed Limit 110,0.25,,0.91408,0.505262
377,Green Light,0.58,209,0.19254,0.364745
377,Green Light,0.97,210,0.544933,0.334188
378,Green Light,0.53,,0.760885,0.38284
379,Green Light,0.55,,0.79405,0.358213
379,Green Light,0.37,,0.503653,0.392512
380,Green Light,0.42,,0.507162,0.358719
381,Green Light,0.49,,0.507462,0.308335
381,Green Light,0.12,,0.540493,0.315165
382,Green Light,0.76,,0.508672,0.252067
382,Red Light,0.24,,0.510282,0.433777
383,Green Light,0.74,,0.5088,0.17229
384,Green Light,0.75,237,0.508798,0.172268
385,Green Light,0.8,,0.510453,0.100173
385,Green Light,0.14,,0.505754,0.410594
386,Red Light,0.75,,0.510285,0.356073
387,Speed Limit 20,0.13,,0.703291,0.526639
388,Speed Limit 20,0.15,,0.703339,0.526582
391,Speed Limit 20,0.13,,0.725913,0.522431
392,Speed Limit 20,0.21,,0.740797,0.518968
393,Speed Limit 80,0.14,,0.780882,0.511282
394,Speed Limit 10,0.25,,0.807429,0.505494
394,Speed Limit 80,0.2,,0.807318,0.505786
394,Speed Limit 110,0.18,,0.807428,0.506274
395,Speed Limit 80,0.27,,0.838574,0.498673
396,Speed Limit 80,0.26,,0.838606,0.498626
397,Speed Limit 80,0.31,,0.913696,0.478094
398,Speed Limit 80,0.31,242,0.913668,0.478112
399,Speed Limit 80,0.4,,0.955042,0.46578
404,Speed Limit 50,0.11,,0.509763,0.546157
407,Speed Limit 110,0.11,,0.491698,0.545138
408,Speed Limit 110,0.13,,0.486488,0.544657
411,Speed Limit 110,0.12,,0.466796,0.542182
412,Speed Limit 50,0.12,,0.457355,0.542704
413,Speed Limit 110,0.23,,0.449634,0.540956
414,Speed Limit 110,0.24,,0.449588,0.540943
416,Speed Limit 110,0.22,,0.431276,0.539211
417,Speed Limit 110,0.22,,0.431253,0.539225
418,Speed Limit 110,0.12,,0.419297,0.538068
420,Speed Limit 110,0.26,,0.392989,0.534133
421,Red Light,0.38,,0.570527,0.450929
421,Speed Limit 110,0.22,,0.378145,0.532094
422,Speed Limit 110,0.21,,0.359448,0.529768
423,Speed Limit 110,0.21,,0.359461,0.529775
424,Speed Limit 50,0.31,,0.315178,0.522551
424,Red Light,0.18,,0.553295,0.442393
425,Red Light,0.33,,0.550771,0.436522
425,Speed Limit 110,0.16,,0.288195,0.517698
425,Speed Limit 50,0.13,,0.288223,0.517696
426,Red Light,0.33,247,0.550751,0.436523
427,Red Light,0.44,,0.545049,0.432885
427,Speed Limit 50,0.16,,0.256448,0.512204
428,Red Light,0.47,248,0.54515,0.432947
429,Speed Limit 110,0.19,,0.219401,0.504202
429,Speed Limit 120,0.19,,0.219359,0.504322
430,Speed Limit 80,0.26,,0.176185,0.494553
430,Speed Limit 110,0.13,,0.176434,0.494112
431,Speed Limit 80,0.26,,0.176175,0.49457
431,Speed Limit 110,0.13,,0.176418,0.494149
432,Speed Limit 120,0.24,,0.124898,0.480914
432,Speed Limit 80,0.16,,0.125027,0.481559
432,Speed Limit 50,0.15,,0.125202,0.48213
433,Red Light,0.32,,0.530151,0.416071
433,Speed Limit 80,0.32,,0.068461,0.463706
433,Speed Limit 90,0.17,,0.068977,0.464714
434,Red Light,0.67,,0.527154,0.40955
435,Red Light,0.31,,0.52124,0.39847
436,Red Light,0.48,,0.513802,0.376713
437,Red Light,0.28,,0.51137,0.367335
438,Red Light,0.8,,0.511872,0.357176
439,Red Light,0.2,,0.510632,0.347031
440,Red Light,0.66,,0.509404,0.320176
441,Red Light,0.36,,0.50934,0.306058
442,Red Light,0.66,,0.510006,0.288576
443,Red Light,0.66,260,0.509941,0.288594
444,Red Light,0.7,,0.510167,0.248918
445,Red Light,0.53,,0.510527,0.224048
446,Red Light,0.54,262,0.510494,0.224023
447,Red Light,0.63,,0.509703,0.196536
448,Red Light,0.9,,0.512182,0.130395
449,Red Light,0.82,,0.514858,0.047425
449,Green Light,0.14,,0.513386,0.048647
454,Red Light,0.11,,0.4859,0.493172
455,Red Light,0.32,,0.447656,0.489398
455,Red Light,0.13,,0.495443,0.489715
456,Red Light,0.39,,0.494669,0.485693
456,Red Light,0.14,,0.444854,0.484081
457,Red Light,0.28,,0.440716,0.483298
458,Red Light,0.6,,0.434179,0.474376
458,Red Light,0.55,,0.493409,0.472978
459,Red Light,0.6,269,0.434186,0.474382
459,Red Light,0.55,270,0.493404,0.472969
460,Red Light,0.2,,0.428487,0.463692
460,Red Light,0.17,,0.496424,0.464415
461,Red Light,0.77,,0.514362,0.448575
461,Red Light,0.71,,0.437954,0.449636
461,Red Light,0.12,,0.513595,0.446585
462,Red Light,0.57,,0.441352,0.445547
462,Red Light,0.3,,0.524253,0.442259
463,Red Light,0.7,,0.466304,0.426497
463,Red Light,0.43,,0.559513,0.421283
464,Red Light,0.69,,0.490572,0.409549
464,Red Light,0.66,,0.596797,0.400001
465,Red Light,0.75,,0.646153,0.371894
465,Red Light,0.71,,0.522184,0.388451
466,Red Light,0.84,,0.674117,0.355993
466,Red Light,0.74,,0.5412,0.373124
467,Red Light,0.89,,0.596376,0.290707
467,Red Light,0.88,,0.778654,0.26235
467,Green Light,0.16,,0.698687,0.491167
468,Red Light,0.89,283,0.596367,0.290707
468,Red Light,0.88,284,0.778643,0.262348
469,Red Light,0.84,262,0.628658,0.219678
470,Green Light,0.42,,0.565145,0.510223
473,Red Light,0.29,,0.414645,0.49047
473,Green Light,0.18,,0.371334,0.488399
473,Red Light,0.15,,0.764403,0.247085
474,Green Light,0.11,,0.359348,0.486509
476,Green Light,0.65,,0.316077,0.454363
476,Green Light,0.21,,0.381293,0.459337
477,Green Light,0.65,288,0.321021,0.452684
478,Green Light,0.53,288,0.328018,0.449784
479,Green Light,0.54,,0.421708,0.446123
479,Green Light,0.41,,0.344257,0.44171
480,Green Light,0.55,290,0.35335,0.439343
481,Green Light,0.76,,0.3658,0.383341
481,Green Light,0.6,,0.486625,0.378714
482,Green Light,0.77,292,0.365803,0.383333
482,Green Light,0.59,293,0.48662,0.378713
483,Green Light,0.87,,0.486455,0.326826
483,Green Light,0.83,,0.33366,0.338121
484,Green Light,0.87,294,0.486429,0.326808
484,Green Light,0.83,295,0.333656,0.338121
485,Green Light,0.96,,0.490924,0.233427
485,Green Light,0.9,,0.291304,0.268569
486,Green Light,0.96,296,0.490922,0.233406
486,Green Light,0.9,297,0.291307,0.268558
487,Green Light,0.93,,0.500211,0.130994
487,Green Light,0.82,,0.258702,0.202398
490,Red Light,0.44,,0.78087,0.511281
491,Red Light,0.28,,0.798112,0.507595
492,Red Light,0.38,,0.801139,0.505688
493,Red Light,0.48,,0.797816,0.501694
494,Red Light,0.25,,0.793653,0.501816
495,Red Light,0.5,,0.780181,0.502327
496,Red Light,0.43,,0.76276,0.503192
497,Red Light,0.44,305,0.762726,0.503242
498,Red Light,0.44,,0.755328,0.498202
499,Red Light,0.24,,0.765059,0.49543
500,Red Light,0.37,,0.774375,0.491541
501,Red Light,0.35,,0.785119,0.487979
502,Red Light,0.28,,0.828384,0.474755
503,Red Light,0.63,,0.837208,0.471405
505,Red Light,0.55,,0.853199,0.463384
506,Red Light,0.52,,0.872277,0.45141
507,Red Light,0.34,,0.877104,0.450264
